検証区分,必要環境/前提,機能,区分一,区分二,区分三,正常/異常,実施場所,事前準備,検証の目的(何を確認するか),操作手順,期待される結果(合格条件),自動テスト,担当者名,確認結果,備考
◎ 配布アプリで検証(ブラックボックス),ログイン画面で確認,接続・起動,起動,スモーク,アプリ起動でログイン画面が出る,正常系,クライアントアプリ(ログイン画面),配布(ClickOnceインストール)済みのアプリがあり 中央サーバーが稼働していること,サーバーが稼働した状態で アプリが起動し ログイン画面まで表示される最初の動作確認をする,①配布された Watashi アプリを起動する,エラーなく起動し ユーザー名/パスワード欄と『接続テスト』ボタンのあるログイン画面が表示される,,,済(2026-07-22 実機検証: ビルド成功+実行し、MainWindowTitleが「Watashi - ログイン」になることをPowerShell経由で確認。画面の見た目(レイアウト崩れ等)はcomputer-useへのアクセスが許可されなかったため未確認),実機/サーバー不要(起動のみ)
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),接続・起動,deployment.json,接続先固定,正常な配布設定で起動,正常系,クライアントアプリ,アプリ本体(exe)と同じフォルダに deployment.json があること,配布された接続先設定(deployment.json)が読み込まれ アプリが正しい中央サーバーに向くことを確認する,"①開発機では PowerShell で『cd D:\Github\Watashi\src\Watashi.Client』→『dotnet run』でアプリを起動
②ログイン画面が出たら 画面下の「接続テスト」を押す",ログイン画面が表示され 接続テストが成功する(設定された接続先に疎通できている),,,未実施(UI実機待ち),実機
▲ 専門環境が必要(開発・インフラ),配布前チェック(発行担当),接続・起動,deployment.json,接続先固定,deployment.json 欠落,異常系,クライアントアプリ,exe と同じフォルダから deployment.json を一時的に退避(リネーム)しておくこと,接続先設定ファイルが無いとき 安全にエラー終了し 利用者に接続先を入力させない設計になっていることを確認する,"①deployment.json をリネームして無い状態にする
②アプリを起動する",「配布設定エラー」が表示されて終了する。接続先の入力画面は出ない,,,済(2026-07-22 実機検証: deployment.jsonを退避しビルド出力から実行→MainWindowTitleが「Watashi - 配布設定エラー」になることをPowerShell経由で確認(画面のクリック等は未実施)),実機
▲ 専門環境が必要(開発・インフラ),配布前チェック(発行担当),接続・起動,deployment.json,接続先固定,serverUrl 未設定,異常系,クライアントアプリ,deployment.json の serverUrl の値を空にして保存しておくこと,接続先 URL が空のとき エラー終了することを確認する,"①deployment.json を開き serverUrl を空にして保存
②アプリを起動する",「配布設定エラー」が表示されて終了する,,,済(2026-07-22 実機検証: serverUrlを空にして実行→MainWindowTitleが「Watashi - 配布設定エラー」になることを確認),実機
▲ 専門環境が必要(開発・インフラ),配布前チェック(発行担当),接続・起動,deployment.json,接続先固定,deployment.json が壊れている(JSON構文),異常系,クライアントアプリ,exe と同じフォルダの deployment.json をメモ帳で開き わざとカンマや括弧を壊して保存しておくこと(必ずバックアップを取る)。ClickOnce版ではハッシュ検証が働くため 配布前のコピー(xcopy版)で実施する,設定ファイルが壊れていても 安全にエラー終了し 利用者に接続先を入力させない設計であることを確認する,"①deployment.json をわざと壊れた内容にする
②アプリを起動する",「配布設定エラー」が表示されて終了する。接続先の入力画面は出ない,,,済(2026-07-22 実機検証: JSON構文を破壊して実行→MainWindowTitleが「Watashi - 配布設定エラー」になることを確認),実機/配布前チェック
◎ 配布アプリで検証(ブラックボックス),ログイン画面で確認,接続・起動,接続テスト,表示,接続先とD&Dが読み取り専用で表示,正常系,クライアントアプリ(ログイン画面),中央サーバーが稼働していること,配布設定の接続先(serverUrl)と ドラッグ&ドロップ可否が 画面で確認でき 利用者が変更できない(読み取り専用)ことを確認する,"①ログイン画面下の『接続テスト』ボタンを押す
②表示される接続先URLとD&Dの状態を見る",deployment.jsonのserverUrlとD&D状態が表示される。利用者が編集できる入力欄は無い,,,未実施(UI実機待ち),実機/UI
▲ 専門環境が必要(開発・インフラ),配布前チェック(発行担当),接続・起動,deployment.json,設定優先順位,settings.json より優先,正常系,クライアントアプリ,deployment.json と %LocalAppData%\Watashi\settings.json の両方に異なる serverUrl を書いておくこと,利用者側 settings.json より 配布側 deployment.json の接続先が優先されることを確認する,"①両ファイルに別々の serverUrl を設定
②アプリを起動
③接続テストやヘッダの接続先表示を見る",deployment.json の接続先が使われている,,,済(2026-07-22 コード確認: AppSettings.cs でServerUrl/UpdateManifestUrl/EnableDragDrop/FileTransferTimeoutMinutesは全て[JsonIgnore]属性が付いており、settings.jsonへの読み書き自体が行われない設計。「優先される」以前にsettings.json側にこれらの値を保存する余地が無いため、構造的にdeployment.jsonが常に使われることを確認),実機
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,接続・起動,deployment.json,D&D可否,ドラッグ&ドロップ有効,正常系,クライアントアプリ,deployment.json の enableDragDrop が true であること。実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,ドラッグ＆ドロップ転送を有効にできることを確認する,"①enableDragDrop=true で起動
②ローカル側(左)のファイルを掴み リモート側(右)へドラッグして放す",ドロップしたファイルのアップロードが始まる,,,未実施(実CIFS環境待ち),実機/要CIFS
▲ 専門環境が必要(開発・インフラ),配布前チェック(発行担当),接続・起動,deployment.json,D&D可否,ドラッグ&ドロップ無効,正常系,クライアントアプリ,deployment.json の enableDragDrop が false であること,設定でドラッグ＆ドロップを無効化できることを確認する,"①enableDragDrop=false で起動
②ローカル側のファイルをリモート側へドラッグして放す",ドロップしても転送は始まらない(D&D が無効),,,未実施(UI実機待ち),実機
▲ 専門環境が必要(開発・インフラ),配布前チェック(発行担当),接続・起動,deployment.json,プロトコル表示,httpsで接続表示,正常系,クライアントアプリ,deployment.json の serverUrl が https:// で始まること,接続が暗号化(HTTPS)のとき 画面の接続表示が HTTPS になることを確認する,"①serverUrl を https:// にして起動
②ログイン後 画面上部の接続表示を見る",接続表示が「HTTPS」になっている,,,未実施(UI実機待ち),実機
