Username,IsAdmin,IsLocked,MustChangePassword,PasswordExpiresAt,LastLoginAt,CreatedAt
admin,true,false,false,2026-08-20T15:28:59.5767991Z,2026-05-24T14:09:28.8214436Z,2026-05-22T00:13:07.3957547Z
csv_user_alice,false,false,true,2026-08-22T13:48:16.7063016Z,,2026-05-24T13:48:01.6878407Z
csv_user_bob,true,false,true,2026-08-22T13:48:16.7063016Z,,2026-05-24T13:48:01.6878407Z
ito,false,false,true,2026-08-21T05:24:33.5853400Z,,2026-05-23T05:24:33.5853400Z
kato,false,false,true,2026-08-21T05:24:34.0916096Z,,2026-05-23T05:24:34.0916096Z
kobayashi,false,false,true,2026-08-21T05:24:33.9580916Z,,2026-05-23T05:24:33.9580916Z
kyon,true,false,false,2026-08-20T18:02:08.5377682Z,2026-05-22T18:01:54.5159164Z,2026-05-22T17:54:18.3824056Z
nakamura,false,false,true,2026-08-21T05:24:33.8300500Z,,2026-05-23T05:24:33.8300500Z
newtest_user,false,false,false,2026-08-21T05:45:49.1864041Z,2026-05-23T05:44:50.4405397Z,2026-05-23T05:32:41.1912562Z
sasaki,false,false,true,2026-08-21T05:24:34.4797248Z,,2026-05-23T05:24:34.4797248Z
sato_long_name_test,false,false,true,2026-08-21T05:24:33.3368666Z,,2026-05-23T05:24:33.3368666Z
suzuki,false,false,true,2026-08-21T05:24:33.2137398Z,,2026-05-23T05:24:33.2137398Z
tanaka,false,false,true,2026-08-21T05:24:33.0755805Z,,2026-05-23T05:24:33.0755805Z
watanabe,false,false,true,2026-08-21T05:24:33.4609052Z,,2026-05-23T05:24:33.4609052Z
yamada,false,false,true,2026-08-21T05:24:34.3527749Z,,2026-05-23T05:24:34.3527749Z
yamamoto,false,false,true,2026-08-21T05:24:33.7088828Z,,2026-05-23T05:24:33.7088828Z
yoshida,false,false,true,2026-08-21T05:24:34.2254146Z,,2026-05-23T05:24:34.2254146Z
